product_code,detected_group,detected_part_type,detected_confidence,conflict_reason,review_status
102510,unknown,UNKNOWN,0,normalized_part_type = UNKNOWN / confidence < 0.85,대기
121225,core_part,COOLER_CPU_AIO,0.94,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
113955,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
113957,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
113958,cable_accessory,ACCESSORY,0.88,원본 카테고리와 상품명 분류 충돌: CASE,대기
99944,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
100124,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
99948,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
100404,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
92825,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
117470,unknown,UNKNOWN,0,normalized_part_type = UNKNOWN / confidence < 0.85,대기
117471,unknown,UNKNOWN,0,normalized_part_type = UNKNOWN / confidence < 0.85,대기
101642,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
50723,core_part,CASE,0.94,AI 추천 후보 필수 product_specs 누락: height_mm,대기
97104,core_part,CASE,0.94,AI 추천 후보 필수 product_specs 누락: height_mm,대기
101641,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
101826,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
98772,core_part,COOLER_CPU_AIO,0.93,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
98773,core_part,COOLER_CPU_AIO,0.93,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
98770,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
99321,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
99322,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
98828,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
100884,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
94420,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
99323,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
100496,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: CASE,대기
