자체상품코드,통합상품코드,장부상품코드,장부상품명,대표상품코드,물류위치,모델명,상품명,제조사,카테고리1,카테고리2,카테고리3,카테고리4,상태값,매입가,발주가,공급처,시중가,일반회원,딜러Lv1,딜러Lv2,딜러Lv3,지도가현,지도가카,다나와No,에누리No,스펙,직발송 택배비,택배비,무료여부,인증코드번호 1,인증코드번호 2
113955,368195,,,,,,(2MONS) 서버용 18형 레일2PCS/SET /케이스,2MONS,컴퓨터주변기기,케이스(CASE),랙마운트,,판매중,40000,,(주)컴퓨터광장,0,41100,40070,40070,40070,45000,46500,4362961,,"수입/제조사 : 2MONS / 액세서리 / 브라켓,가이드 / ",0,"3,000",,해당없음,
113957,343678,,,,,서버용 26형 레일,(2MONS) 서버용 26형 레일2PCS/SET /케이스,2MONS,컴퓨터주변기기,케이스(CASE),랙마운트,,판매중,43000,,(주)컴퓨터광장,0,44100,43000,43000,43000,48500,50000,3168723,,"수입/제조사 : 2MONS / 액세서리 / 브라켓,가이드 / ",0,"3,000",,해당없음,
113958,343307,,,,,,(2MONS) 서버용 SSD가이드 /케이스,2MONS,컴퓨터주변기기,케이스(CASE),랙마운트,,판매중,1000,,(주)컴퓨터광장,0,1000,980,980,980,1500,1500,3156205,,"수입/제조사 : 2MONS / 액세서리 / 브라켓,가이드 /",0,"3,000",,해당없음,
97820,354206,,,,,,(ABKO) NCORE 마션 USB3.0 화이트 /케이스,ABKO,컴퓨터주변기기,케이스(CASE),미들타워,,판매중,41000,, 재고있음,0,42100,41050,41050,41050,44000,45500,3509657,,케이스 / 제조회사 : ABKO / 제품 분류 : 미들타워 / 지원 파워 규격 : 표준-ATX / 사운드 : HD AUDIO / 그래픽카드 장착 : 370 mm / SSD 전용 베이 : 2개 / CPU쿨러 장착 : CPU 쿨러높이:158mm /,0,"3,000",,,
114626,316723,,,,,,(AONE) 500P KC /파워,AONE,컴퓨터주변기기,파워(POWER),정격500/550W,,판매중,21600,,(주)에이원아이엔티,0,22200,21650,21650,21650,24000,24000,2459011,,"AONE / ATX / 정격출력 : 230(W) / 메인커넥터 : 20+4 / 쿨링팬 개수 : 1(EA) / 팬크기 : 120(mm) / +12V방식 : +12V 싱글레일 / +12V : 10.5(A) / +5V : 11(A) / +3.3V : 12(A) / SATA : 3 / 4핀 IDE : 4, IDE x3 / 6핀 PCI-E : 6, PCI-E x1 / 무상 1(년), 유상 2(년) / ",0,"3,000",,"MSIP-REM-3YE-500AK,XU100171-16013",XU100171-13004A
114622,333331,,,,,,(AONE) 600T KC /파워,AONE,컴퓨터주변기기,파워(POWER),정격600/650W,,판매중,29700,,(주)에이원아이엔티,0,30500,29740,29740,29740,33000,33000,2932261,,"AONE / ATX / 정격출력 : 300(W) / 메인커넥터 : 20+4 / 쿨링팬 개수 : 1(EA) / 팬크기 : 120(mm) / +12V방식 : +12V 싱글레일 / +12V : 15(A) / +5V : 13(A) / +3.3V : 13(A) / SATA : 4 / 4핀 IDE : 4, IDE x4 / 8핀(6+2) PCI-E : 6+2, PCI-E x1 / 6핀 PCI-E : 6, PCI-E x1 / 보조8핀 / 무상 1(년), 유상 2(년) / ",0,"3,000",,"MSIP-REI-HTH-500HQ1,XU100171-13005",MSIP-REI-AOE-14070003A
114624,317005,,,,,,(AONE) 태왕 EP600 KC /파워,AONE,컴퓨터주변기기,파워(POWER),정격600/650W,,판매중,23800,,(주)에이원아이엔티,0,24400,23790,23790,23790,26500,26500,2509283,,"AONE / ATX / 정격출력 : 300(W) / 메인커넥터 : 20+4 / 쿨링팬 개수 : 1(EA) / 팬크기 : 120(mm) / +12V방식 : +12V 싱글레일 / +12V : 15(A) / +5V : 13(A) / +3.3V : 13(A) / SATA : 4 / 4핀 IDE : 4, IDE x4 / 8핀(6+2) PCI-E : 6+2, PCI-E x1 / 6핀 PCI-E : 6, PCI-E x1 / 보조8핀 / 무상 1(년), 유상 2(년) / ",0,"3,000",,"MSIP-REM-3YE-K300,XU100171-13005",MSIP-REI-HTH-500HQ1
114625,314107,,,,,(AONE) 태왕 EP600L KC /파워,(AONE) 태왕 EP600L KC /파워,AONE,컴퓨터주변기기,파워(POWER),정격600/650W,,판매중,20500,,(주)아토즈인터내셔널,0,21000,20480,20480,20480,23000,23000,2451400,,"AONE / ATX / 정격출력 : 230(W) / 케이블일체형 / +12V 싱글레일 / 팬크기 : 120(mm) / 팬개수 : 1(개) / +12V 출력 : 12A / 메인전원 : 24핀(20+4) 1(개) / 보조전원 : 8핀+(4+4)핀 1(개) / SATA : 3 / 4핀 IDE : 4, IDE x3 / 무상 1(년), 유상 2(년) / ",0,"3,000",,"MSIP-REM-3YE-500AK,XU100171-16013",XU100171-13003A
126830,135613,,,,,,(APC) BACK-UPS BK500EI /파워,APC,컴퓨터주변기기,파워(POWER),정격500/550W,,판매중,172000,,(주)와룡물산,0,176600,172190,172190,172190,191000,225000,73075,,APC / UPS / ,0,"3,000",,HU10007-4005A,HU10007-4005A
126795,353561,,,,,,(APC) Smart-UPS 1000VA LCD 230V SMT1000I /파워,APC,컴퓨터주변기기,파워(POWER),정격1000W이상,,판매중,485000,,(주)와룡물산,0,497900,485450,485450,485450,530000,625000,,,APC / UPS / ,0,"3,000",,,
126794,353556,,,,,,(APC) Smart-UPS 1000VA LCD RM 2U 230V SMT1000RMI2U /파워,APC,컴퓨터주변기기,파워(POWER),정격1000W이상,,판매중,635000,,(주)와룡물산,0,651900,635600,635600,635600,699000,820000,,,APC / UPS / ,0,"3,000",,,
126804,353560,,,,,,(APC) Smart-UPS 1500VA LCD 230V SMT1500I /파워,APC,컴퓨터주변기기,파워(POWER),정격1000W이상,,판매중,680000,,(주)와룡물산,0,698000,680550,680550,680550,745000,879000,,,APC / UPS / ,0,"3,000",,,
126803,353555,,,,,,(APC) Smart-UPS 1500VA LCD RM 2U 230V SMT1500RMI2U /파워,APC,컴퓨터주변기기,파워(POWER),정격1000W이상,,판매중,835000,,(주)와룡물산,0,857200,835770,835770,835770,915000,1075000,,,APC / UPS / ,0,"3,000",,,
126837,353559,,,,,,(APC) Smart-UPS 2200VA LCD 230V SMT2200I /파워,APC,컴퓨터주변기기,파워(POWER),정격1000W이상,,판매중,1170000,,(주)와룡물산,0,1201000,1170980,1170980,1170980,1290000,1520000,,,APC / UPS / ,0,"3,000",,,
126836,353554,,,,,,(APC) Smart-UPS 2200VA LCD RM 2U 230V SMT2200RMI2U /파워,APC,컴퓨터주변기기,파워(POWER),정격1000W이상,,판매중,1610000,,(주)와룡물산,0,1652700,1611380,1611380,1611380,1775000,2085000,,,APC / UPS / ,0,"3,000",,,
126723,353562,,,,,,(APC) Smart-UPS 750VA LCD 230V SMT750I /파워,APC,컴퓨터주변기기,파워(POWER),정격700/850W,,판매중,410000,,(주)와룡물산,0,420900,410380,410380,410380,450000,530000,,,APC / UPS / ,0,"3,000",,,
126722,353557,,,,,,(APC) Smart-UPS 750VA LCD RM 2U 230V SMT750RMI2U /파워,APC,컴퓨터주변기기,파워(POWER),정격700/850W,,판매중,485000,,(주)와룡물산,0,497900,485450,485450,485450,540000,635000,,,APC / UPS / ,0,"3,000",,,
126780,353552,,,,,,(APC) Smart-UPS C 2000VA 2U LCD 230V SMC2000I-2U /파워,APC,컴퓨터주변기기,파워(POWER),정격1000W이상,,판매중,1260000,,(주)와룡물산,0,1293400,1261070,1261070,1261070,1410000,1665000,3270288,,APC / UPS / ,0,"3,000",,"	HU10091-14025A","	HU10091-14025A"
105489,352709,,,,,SK-II 450TFX V2 벌크  ,(Bestone) SK-II 450TFX V2 벌크 /파워,Bestone,컴퓨터주변기기,파워(POWER),,,판매중,23000,,(주)세송씨앤씨,0,23600,23010,23010,23010,25000,25000,3430746,,"Bestone / TFX / 쿨링팬 개수 : 1(EA) / 팬크기 : 80(mm) / +12V방식 : +12V 싱글레일 / +12V : 9(A) / +5V : 12(A) / +3.3V : 7(A) / SATA : 3 / 4핀 IDE : 4, IDE x3 / 보조4핀 / ",0,"3,000",,"MSIP-REM-3YE-TFX400T,XU100171-13006",
105490,352710,,,,,SK-II 500S 벌크  ,(Bestone) SK-II 500S 벌크 /파워,Bestone,컴퓨터주변기기,파워(POWER),,,판매중,15000,,(주)세송씨앤씨,0,15400,15020,15020,15020,16500,16500,3430588,,Bestone / ATX / 메인커넥터 : 20+4 / 쿨링팬 개수 : 1(EA) / 팬크기 : 120(mm) / +12V방식 : +12V 싱글레일 / +12V : 11(A) / +5V : 8(A) / +3.3V : 7(A) / 보조4핀 / ,0,"3,000",, XU100237-14001A,
